id,generation,evaluation_score,this_image_path,init_image_path,image_strengs,seed,steps,prompt_length,cfg_scale,prompt
1,1,0,D:\downloads\develop\SD_IGA_system\generated_images\generated_image_81.jpg,D:\downloads\develop\SD_IGA_system\sample_images\yoyogi.jpg,0.11,6538,1,12,4.0,"['Monkey bars', 'Fountain', 'Picnic benches', 'Outdoor fun', 'Nature elements', 'Fitness area', 'Spring riders', 'Jungle gym', 'Accessible design', 'Interactive play', 'Community gathering', 'Picnic tables']"
2,1,0,D:\downloads\develop\SD_IGA_system\generated_images\generated_image_82.jpg,D:\downloads\develop\SD_IGA_system\sample_images\yoyogi.jpg,0.12,7429,4,20,8.1,"['Play zone', 'Swing sets', 'Interactive play', 'Jungle gym', 'Spring riders', 'Garden beds', 'Family bonding', 'Shaded spots', 'Park pavilion', 'Amphitheater', 'Open spaces', 'Playhouses', 'Tree-lined paths', 'Interactive fountain', 'Kids park', 'Kids zone', 'Eco-friendly design', 'Outdoor fun', 'Monkey bars', 'Nature elements']"
3,1,0,D:\downloads\develop\SD_IGA_system\generated_images\generated_image_83.jpg,D:\downloads\develop\SD_IGA_system\sample_images\yoyogi.jpg,0.5,3295,2,15,5.9,"['Open spaces', 'Park pavilion', 'Recreational area', 'Outdoor fun', 'Green space', 'Fun zone', 'Playground', 'Benches', 'Picnic tables', 'Monkey bars', 'Jungle gym', 'Swing sets', 'Sport areas', 'Community park', 'Picnic benches']"
4,1,100,D:\downloads\develop\SD_IGA_system\generated_images\generated_image_84.jpg,D:\downloads\develop\SD_IGA_system\sample_images\yoyogi.jpg,0.47,9499,4,19,7.6,"['Eco-friendly design', 'Benches', 'Family bonding', 'Seesaw', 'Outdoor fun', 'Sculptures', 'Playhouses', 'Cycle track', 'Open grass', 'Play structures', 'Tree-lined paths', 'Fun zone', 'Colorful equipment', 'Monkey bars', 'Play zone', 'Community park', 'Family-friendly', 'Sport areas', 'Swing sets']"
5,1,0,D:\downloads\develop\SD_IGA_system\generated_images\generated_image_85.jpg,D:\downloads\develop\SD_IGA_system\sample_images\yoyogi.jpg,0.11,3983,2,19,2.0,"['Nature elements', 'Sandbox', 'Open spaces', 'Spring riders', 'Family bonding', 'Slides', 'Jungle gym', 'Outdoor fun', 'Cycle track', 'Play zone', 'Tree-lined paths', 'Fun zone', 'Family-friendly', 'Fitness area', 'Park pavilion', 'Fountain', ""Children's park"", 'Picnic benches', 'Kids zone']"
6,1,100,D:\downloads\develop\SD_IGA_system\generated_images\generated_image_86.jpg,D:\downloads\develop\SD_IGA_system\sample_images\yoyogi.jpg,0.68,9413,2,13,10.0,"['Colorful equipment', 'Play zone', 'Garden beds', 'Open spaces', 'Picnic tables', 'Playground', 'Play structures', 'Fun zone', 'Amphitheater', 'Toddler area', 'Accessible design', 'Tree-lined paths', 'Fitness area']"
7,1,100,D:\downloads\develop\SD_IGA_system\generated_images\generated_image_87.jpg,D:\downloads\develop\SD_IGA_system\sample_images\yoyogi.jpg,0.63,778,3,20,4.7,"['Play structures', 'Shaded spots', 'Community gathering', 'Play zone', ""Children's park"", 'Amphitheater', 'Picnic benches', 'Slides', 'Outdoor fun', 'Climbing frames', 'Accessible design', 'Cycle track', 'Kids park', 'Interactive fountain', 'Fun zone', 'Pet-friendly', 'Sport areas', 'Flower beds', 'Fountain', 'Interactive play']"
8,1,0,D:\downloads\develop\SD_IGA_system\generated_images\generated_image_88.jpg,D:\downloads\develop\SD_IGA_system\sample_images\yoyogi.jpg,0.27,4724,2,17,8.8,"['Interactive play', ""Children's park"", 'Sandbox', 'Open grass', 'Outdoor fun', 'Tree-lined paths', 'Accessible design', 'Amphitheater', 'Playhouses', 'Family bonding', 'Climbing frames', 'Cycle track', 'Eco-friendly design', 'Playground', 'Walking paths', 'Spring riders', 'Slides']"
9,2,70,D:\downloads\develop\SD_IGA_system\generated_images\generated_image_89.jpg,D:\downloads\develop\SD_IGA_system\sample_images\yoyogi.jpg,0.53,3685,2,19,9.9,"['Picnic tables', 'Play zone', 'Garden beds', 'Fun zone', 'Colorful equipment', 'Play structures', 'Eco-friendly design', 'Playground', 'Benches', 'Tree-lined paths', 'Family bonding', 'Accessible design', 'Seesaw', 'Outdoor fun', 'Sculptures', 'Toddler area', 'Amphitheater', 'Open spaces', 'Fitness area']"
10,2,100,D:\downloads\develop\SD_IGA_system\generated_images\generated_image_90.jpg,D:\downloads\develop\SD_IGA_system\sample_images\yoyogi.jpg,0.63,778,3,16,7.6,"['Play structures', 'Outdoor fun', 'Picnic benches', 'Cycle track', 'Slides', 'Play zone', ""Children's park"", 'Eco-friendly design', 'Benches', 'Family bonding', 'Accessible design', 'Seesaw', 'Community gathering', 'Sculptures', 'Playhouses', 'Fun zone', 'Open grass', 'Climbing frames', 'Tree-lined paths']"
11,2,0,D:\downloads\develop\SD_IGA_system\generated_images\generated_image_91.jpg,D:\downloads\develop\SD_IGA_system\sample_images\yoyogi.jpg,0.47,6317,2,12,7.6,"['Play structures', 'Play zone', 'Sculptures', 'Seesaw', 'Outdoor fun', 'Eco-friendly design', 'Cycle track', 'Open grass', 'Shaded spots', 'Community gathering', ""Children's park"", 'Amphitheater', 'Fun zone', 'Picnic benches', 'Slides', 'Benches', 'Colorful equipment', 'Climbing frames', 'Playhouses', 'Accessible design']"
12,2,100,D:\downloads\develop\SD_IGA_system\generated_images\generated_image_92.jpg,D:\downloads\develop\SD_IGA_system\sample_images\yoyogi.jpg,0.68,9413,2,20,4.7,"['Play structures', 'Play zone', 'Colorful equipment', 'Garden beds', 'Amphitheater', 'Open spaces', 'Picnic tables', 'Playground', 'Fun zone', 'Outdoor fun', 'Accessible design', 'Picnic benches', 'Toddler area', 'Tree-lined paths', 'Fitness area', 'Slides', 'Cycle track', 'Community gathering', 'Kids park', 'Interactive fountain']"
13,2,0,D:\downloads\develop\SD_IGA_system\generated_images\generated_image_93.jpg,D:\downloads\develop\SD_IGA_system\sample_images\yoyogi.jpg,0.47,778,1,19,7.6,"['Play structures', 'Outdoor fun', 'Community gathering', 'Play zone', 'Eco-friendly design', 'Cycle track', 'Benches', 'Accessible design', 'Family bonding', 'Seesaw', 'Sculptures', 'Playhouses', 'Open grass', 'Fun zone', 'Climbing frames', 'Shaded spots', 'Tree-lined paths', 'Colorful equipment', 'Amphitheater']"
14,2,0,D:\downloads\develop\SD_IGA_system\generated_images\generated_image_94.jpg,D:\downloads\develop\SD_IGA_system\sample_images\yoyogi.jpg,0.15,9499,1,12,7.2,"['Vibrant play equipment', 'Rocking horse toys', 'Activity area', 'Flower beds', 'Wide-open spaces', 'Entertainment zone', 'Picnic spots', 'Recreational structures', 'Fun ground', 'Outdoor enjoyment', 'Open-air theater', 'Shaded walkways']"
15,2,100,D:\downloads\develop\SD_IGA_system\generated_images\generated_image_95.jpg,D:\downloads\develop\SD_IGA_system\sample_images\yoyogi.jpg,0.47,9499,4,19,1.8,"['Amusement Equipment', 'Play Area', 'Wide Spaces', 'Flower Beds', 'Dining Tables', 'Recreational Structures', 'Play Site', 'Outdoor Theater', 'Sustainable Design', 'Seating Area', 'Entertainment Zone', 'Family Gathering', 'Pathway with Trees', 'Rocking Horse', 'Inclusive Design', 'Outdoor Activities', 'Art Installations', 'Wellness Zone', ""Young Children's Area""]"
16,2,0,D:\downloads\develop\SD_IGA_system\generated_images\generated_image_96.jpg,D:\downloads\develop\SD_IGA_system\sample_images\yoyogi.jpg,0.47,778,3,19,7.6,"['Play structures', 'Play zone', 'Outdoor fun', 'Amphitheater', 'Cycle track', 'Eco-friendly design', 'Benches', 'Family bonding', 'Seesaw', 'Sculptures', 'Fun zone', 'Playhouses', ""Children's park"", 'Open grass', 'Kids park', 'Accessible design', 'Slides', 'Community gathering', 'Tree-lined paths']"
17,3,0,D:\downloads\develop\SD_IGA_system\generated_images\generated_image_97.jpg,D:\downloads\develop\SD_IGA_system\sample_images\yoyogi.jpg,0.12,9499,3,19,8.1,"['Open Play Area', 'Spacious Spaces', 'Entertaining Structures', 'Recreational Equipment', 'Playground Zone', 'Vibrant Play Equipment', 'Eco-friendly Design', 'Flower Beds', 'Performance Stage', 'Eating Tables', 'Activity Ground', 'Large Open Areas', 'Outdoor Picnic Tables', 'Tree-Lined Pathway', 'Amusement Section', ""Children's Playground"", 'Excitement Zone', 'Outdoor Entertainment', 'Rocking Animal']"
18,3,51,D:\downloads\develop\SD_IGA_system\generated_images\generated_image_98.jpg,D:\downloads\develop\SD_IGA_system\sample_images\yoyogi.jpg,0.68,9499,3,20,8.3,"['Amusement Equipment', 'Play Site', 'Play structures', 'Seating Area', 'Play zone', 'Colorful equipment', 'Garden beds', 'Amphitheater', 'Entertainment Zone', 'Outdoor Theater', 'Dining Tables', 'Open spaces', 'Picnic tables', 'Playground', 'Fun zone', 'Outdoor fun', 'Pathway with Trees', 'Flower Beds', 'Family Gathering', 'Accessible design']"
19,3,0,D:\downloads\develop\SD_IGA_system\generated_images\generated_image_99.jpg,D:\downloads\develop\SD_IGA_system\sample_images\yoyogi.jpg,0.14,9499,2,20,4.7,"['Colorful equipment', 'Picnic tables', 'Play zone', 'Play structures', 'Garden beds', 'Amusement Equipment', 'Play Area', 'Wide Spaces', 'Flower Beds', 'Open spaces', 'Picnic benches', 'Dining Tables', 'Recreational Structures', 'Play Site', 'Outdoor Theater', 'Outdoor fun', 'Sustainable Design', 'Amphitheater', 'Seating Area', 'Fitness area']"
20,3,100,D:\downloads\develop\SD_IGA_system\generated_images\generated_image_100.jpg,D:\downloads\develop\SD_IGA_system\sample_images\yoyogi.jpg,0.63,778,1,16,7.6,"['Play structures', 'Outdoor fun', 'Picnic benches', 'Play zone', 'Slides', 'Cycle track', ""Children's park"", 'Accessible design', 'Colorful equipment', 'Garden beds', 'Benches', 'Fun zone', 'Amphitheater', 'Open spaces', 'Picnic tables', 'Seesaw']"
21,3,0,D:\downloads\develop\SD_IGA_system\generated_images\generated_image_101.jpg,D:\downloads\develop\SD_IGA_system\sample_images\yoyogi.jpg,0.63,9499,1,19,7.6,"['Cycle track', 'Slides', ""Children's park"", 'Play structures', 'Play zone', 'Amusement Equipment', 'Play Area', 'Accessible design', 'Wide Spaces', 'Flower Beds', 'Benches', 'Dining Tables', 'Outdoor fun', 'Seesaw', 'Recreational Structures', 'Play Site', 'Outdoor Theater', 'Picnic benches', 'Eco-friendly design']"
22,3,100,D:\downloads\develop\SD_IGA_system\generated_images\generated_image_102.jpg,D:\downloads\develop\SD_IGA_system\sample_images\yoyogi.jpg,0.63,9499,4,19,1.8,"['Play Area', 'Dining Tables', 'Play Site', 'Play structures', 'Outdoor fun', 'Wide Spaces', 'Picnic benches', 'Cycle track', 'Slides', 'Entertainment Zone', 'Play zone', 'Flower Beds', ""Children's park"", 'Eco-friendly design', 'Sustainable Design', 'Benches', 'Family bonding', 'Accessible design', 'Seesaw']"
23,3,100,D:\downloads\develop\SD_IGA_system\generated_images\generated_image_103.jpg,D:\downloads\develop\SD_IGA_system\sample_images\yoyogi.jpg,0.63,3685,2,19,9.9,"['Play structures', 'Fun zone', 'Play zone', 'Eco-friendly design', 'Cycle track', 'Benches', 'Picnic tables', 'Picnic benches', 'Family bonding', 'Accessible design', 'Garden beds', 'Seesaw', 'Colorful equipment', 'Outdoor fun', 'Playground', 'Sculptures', ""Children's park"", 'Community gathering', 'Slides']"
24,3,0,D:\downloads\develop\SD_IGA_system\generated_images\generated_image_104.jpg,D:\downloads\develop\SD_IGA_system\sample_images\yoyogi.jpg,0.47,778,4,16,1.8,"['Play Area', 'Recreational Structures', 'Play structures', 'Outdoor fun', 'Picnic benches', 'Cycle track', 'Slides', 'Play zone', ""Children's park"", 'Amusement Equipment', 'Eco-friendly design', 'Family Gathering', 'Benches', 'Family bonding', 'Accessible design', 'Sustainable Design']"
25,4,0,D:\downloads\develop\SD_IGA_system\generated_images\generated_image_105.jpg,D:\downloads\develop\SD_IGA_system\sample_images\yoyogi.jpg,0.63,778,1,19,1.8,"['Play structures', 'Outdoor fun', 'Play zone', 'Picnic benches', 'Slides', 'Cycle track', 'Accessible design', 'Play Area', 'Dining Tables', 'Benches', 'Play Site', ""Children's park"", 'Wide Spaces', 'Colorful equipment', 'Open spaces', 'Amphitheater', 'Fun zone', 'Garden beds', 'Entertainment Zone']"
26,4,33,D:\downloads\develop\SD_IGA_system\generated_images\generated_image_106.jpg,D:\downloads\develop\SD_IGA_system\sample_images\yoyogi.jpg,0.63,2066,1,19,1.8,"['Play structures', 'Eco-friendly design', 'Cycle track', 'Picnic benches', 'Outdoor fun', 'Fun zone', 'Play Area', 'Play zone', 'Dining Tables', 'Play Site', 'Accessible design', 'Family bonding', 'Seesaw', 'Wide Spaces', 'Benches', 'Slides', 'Entertainment Zone', ""Children's park"", 'Playground']"
27,4,75,D:\downloads\develop\SD_IGA_system\generated_images\generated_image_107.jpg,D:\downloads\develop\SD_IGA_system\sample_images\yoyogi.jpg,0.68,9499,4,15,8.8,"['Playground', 'Dining Seats', 'Climbing Structures', 'Recreation Gear', 'Outside Adventure', 'Fun Section', 'Planter Sections', 'Amusement Spot', 'Outdoor Stage', 'Playing Field', 'Bloom Beds', 'Relaxation Zone', 'Open Areas', 'Picnic Tables', 'Vibrant Apparatus']"
28,4,75,D:\downloads\develop\SD_IGA_system\generated_images\generated_image_108.jpg,D:\downloads\develop\SD_IGA_system\sample_images\yoyogi.jpg,0.68,9499,4,12,4.6,"['Amusement Equipment', 'Slides', 'Playing Equipment', 'Entertainment Zone', 'Fun Zone', 'Picnic Tables', 'Swing Sets', 'Rocking Horses', 'Garden Blooms', 'Cycle Paths', 'Lawn Spaces', 'Outdoor Play', ""Children's Park"", 'Open Fields']"
29,4,0,D:\downloads\develop\SD_IGA_system\generated_images\generated_image_109.jpg,D:\downloads\develop\SD_IGA_system\sample_images\yoyogi.jpg,0.63,778,1,16,9.1,"['Play equipment', 'Fun area', 'Park benches', 'Activity zone', 'Bike path', 'Seating', 'Inclusive layout', 'Flower beds', 'Outdoor tables', 'Vibrant gear', 'Sustainable design', 'Teeter-totter', 'Outdoor activities', ""Kids' park"", 'Family togetherness', 'Open areas']"
30,4,0,D:\downloads\develop\SD_IGA_system\generated_images\generated_image_110.jpg,D:\downloads\develop\SD_IGA_system\sample_images\yoyogi.jpg,0.45,778,1,16,1.8,"['Play structures', 'Picnic benches', 'Outdoor fun', 'Play zone', 'Slides', 'Cycle track', 'Wide Spaces', 'Dining Tables', ""Children's park"", 'Benches', 'Play Area', 'Colorful equipment', 'Garden beds', 'Play Site', 'Fun zone', 'Accessible design']"
31,4,0,D:\downloads\develop\SD_IGA_system\generated_images\generated_image_111.jpg,D:\downloads\develop\SD_IGA_system\sample_images\yoyogi.jpg,0.63,778,1,11,9.3,"['Play Area', 'Play structures', 'Dining Tables', 'Outdoor fun', 'Picnic benches', 'Slides', 'Play Site', 'Cycle track', 'Play zone', ""Children's park"", 'Colorful equipment', 'Wide Spaces', 'Garden beds', 'Accessible design', 'Fun zone', 'Amphitheater', 'Benches', 'Flower Beds', 'Open spaces']"
